x,y,class
-1.8268971337289304,-2.2476875517017483,1.0
-1.9707988433063883,-1.7180486066949008,1.0
-0.6747736154447875,-1.250053710020975,1.0
-1.8078129347624552,-2.028053666236402,1.0
-1.6736438439899666,-2.1668556562752292,1.0
-2.6014629683673425,-3.1554153940825733,1.0
-0.08714806394476571,-2.1719606879378386,1.0
-2.021788645624923,-2.8142429454254083,1.0
-1.5804620259983384,-1.3836113638615017,1.0
-0.8555539932651338,-0.7480963385680428,1.0
-0.6678408814748362,0.13929049465489607,1.0
-2.4766435471698074,-1.1946281658778732,1.0
-3.134029740919371,-0.6432524090489264,1.0
-2.5234932926504428,-2.653922078758587,1.0
-0.9337562284136828,-0.8340734911188794,1.0
-1.1541593223642295,-3.233899697886857,1.0
-1.6041866189551697,-0.8999987275730281,1.0
-1.7307386121429633,-2.529819409838341,1.0
-1.8807688082275875,-0.904769367658963,1.0
-0.37689550551575346,-0.3375543732152726,1.0
-1.4191051937727843,-2.584707382066502,1.0
-4.190170842557285,-1.6653076858881808,1.0
-1.1126342665542388,-1.0189654918685958,1.0
-1.2042773639684574,-1.4165752339461857,1.0
-1.3583609241383388,-1.5016895800650187,1.0
-0.475466810535061,-1.4129698162466555,1.0
-2.3582821350707412,-1.6752009811858524,1.0
-1.6791370259164338,-2.8507313876982407,1.0
-1.7793319312045988,-1.211698337602895,1.0
-1.2545569650528419,-0.18372253908348068,1.0
-0.34294481588240955,-2.5567420259405633,1.0
-1.5498750123490581,-1.4796635395557318,1.0
-1.5416912079578695,-2.165159688339792,1.0
-1.1653614001643562,-1.1452820422975214,1.0
-3.49492151348304,-2.840049585544076,1.0
-0.5001097122267014,-2.561998412275916,1.0
-0.40051919852173024,-2.176145249171957,1.0
-1.7783873527778373,-2.4760448736688394,1.0
-0.5694877084950235,-1.1685784020078507,1.0
-2.12436488336267,-3.0133592393300423,1.0
-1.1044196049177142,-2.8195001812964477,1.0
-3.317772186479597,-3.7811030155373997,1.0
-3.142249884049897,0.8377187363043048,1.0
-2.679868953999641,-0.3835319788342011,1.0
-2.047167291102533,-2.0682745848024404,1.0
-2.3725060663989,-0.16193570412983616,1.0
-1.876580425149207,-1.4994261655615444,1.0
-3.5644277644309876,-0.9688817207415291,1.0
-2.637077517466966,-1.3750257862438384,1.0
0.028593823227531123,-1.3982520001769394,1.0
-1.7065880038106793,-3.3077543489953953,1.0
-1.9817840912447278,-3.1981896955415676,1.0
-2.3880472804384345,-1.420833302370223,1.0
-2.543445352409755,-0.29653896234178956,1.0
-1.582165165557102,1.3137335356198938,1.0
-0.5282708002723143,-0.9911988948410917,1.0
-0.6583155770588323,-1.3198145656042524,1.0
-1.888041561329795,-2.625209442428566,1.0
-1.470062170429911,0.35729741595063924,1.0
-0.03565302190547048,-0.7959271253506772,1.0
-1.4552654812628236,-1.141463326840098,1.0
-0.6844014049653885,-1.1989975300337317,1.0
-1.5724864933327976,-2.083322834602795,1.0
-1.461669624494375,-2.7876937372167356,1.0
-1.0249352330145536,-2.354990943086211,1.0
-1.1333942021249466,-2.276564915422903,1.0
-0.9002346927332188,-0.37734443483103264,1.0
-0.9920026508988333,-1.4134473314645137,1.0
-3.3406606791500177,-1.458962515542588,1.0
-2.2348666502183123,-0.24141648200273358,1.0
-0.7113412227086924,-2.156890124384594,1.0
-0.15312557996023668,0.8982996850597358,1.0
1.0295274414086877,-1.8138895034723854,1.0
0.7568188435988135,-2.628750489010484,1.0
-1.40595152646388,-1.9079247075310706,1.0
-1.1814841093122712,-1.1884706607358193,1.0
-1.6163798190931173,-1.23699235151924,1.0
-0.23765384958480706,0.04221904299866419,1.0
0.15623688350425002,-1.7290571811332622,1.0
-1.965045718877518,-2.514868559610723,1.0
-2.8318864504190158,-1.4459065019048432,1.0
-1.0514515233882715,-1.7950226882502593,1.0
-1.284498624844996,-2.7810784509789546,1.0
-1.2462496679742756,-1.5881635865769235,1.0
-2.75720063434707,-1.432420933020122,1.0
-0.9591361886129163,-2.196879568708769,1.0
-1.9444982789405847,-1.1836110206356552,1.0
-0.5297804575860245,-1.4243097303955643,1.0
-1.6590017768744056,-1.7180740058664656,1.0
-0.6845783433310045,-0.9193186640788712,1.0
-0.9699078569182814,-0.7778312112245255,1.0
-0.7748044331134535,-2.3826021338001713,1.0
-2.1170836129268134,-0.8992211389383777,1.0
-2.2676243276224444,0.6785763978573986,1.0
-3.4913500255118746,-1.973092856026648,1.0
-1.0654762741516353,-0.036309055235293375,1.0
-1.1953620326347871,-2.1156784081010995,1.0
-2.4555977424361317,-0.926727599778947,1.0
-1.6106779413235057,-1.7992582899728664,1.0
-1.7232738950681814,-0.41876062937514424,1.0
-3.702653639134826,-1.7066066088047607,1.0
-1.4918162160051553,-1.724986288405705,1.0
-2.4207725581508672,-1.9907531158035332,1.0
-0.18622557647672866,-1.0876544239933914,1.0
-0.5626532843028441,-2.5767780525613615,1.0
-1.2716461889612996,-2.2791505151842024,1.0
-1.5809857447644018,-1.8446151901472052,1.0
-0.07474807143405005,-1.6136332833572073,1.0
-1.4344440712613733,-0.9539242419271075,1.0
-1.3372070409871495,-1.3691404207445148,1.0
-1.4707453599940086,-0.4549052741413089,1.0
-1.4336334968367392,-1.5770635762165086,1.0
-2.2928673881260258,-2.0250731696121274,1.0
-1.0317505889608884,-2.1776462737620514,1.0
-0.3211661594859463,0.7014096969995438,1.0
-2.6748509311271818,-2.7956121433842522,1.0
-0.4098173830558549,-3.7366205502755676,1.0
-2.7382516354258195,-1.292246701210195,1.0
-1.4438003445966705,-1.8557173540801903,1.0
-1.8847859224438945,-0.6796773887503961,1.0
-0.13068845547705066,-0.4387886167098125,1.0
-1.4815407896720743,-0.4431652639298014,1.0
-1.3764847848196962,-0.248642236065578,1.0
-2.7755680534012663,-0.3058995165527125,1.0
-1.324385863702156,-0.6151913511720126,1.0
-2.374267562617265,-2.4872828118940156,1.0
-0.8654278026684541,-1.8468898169056387,1.0
-0.9667904212475678,-2.2614131452199153,1.0
-1.3368212064765035,-1.2761102755357379,1.0
-0.8522900306392257,-1.5888196477200573,1.0
-2.986408621748602,0.10369129617558559,1.0
-1.106239891352999,-1.602762267300628,1.0
-3.444894261431278,-2.567949171322546,1.0
-1.8890773577623152,-1.6523244702028057,1.0
-0.9953812342784639,-0.5409736222837324,1.0
-1.2255725059698832,-1.123185769530028,1.0
-2.368196689193651,-1.0370461819346801,1.0
0.5380760703133172,-2.6291611062055575,1.0
-0.04071321587224541,-1.2999810720032297,1.0
-2.2118004725227185,-1.6886128691245719,1.0
-1.4065551629499498,-1.247685464531229,1.0
-2.31390074126642,-1.5256049824157263,1.0
-1.8239216878618951,-2.665054539896963,1.0
-2.1660087224095603,-0.054649935013484585,1.0
-1.91885260672125,-1.0665539792990466,1.0
-1.4280487616652666,0.2946463372943351,1.0
-1.2502842067986946,-1.7751492098989563,1.0
0.2676420968365436,-1.198046688593962,1.0
-1.9551973267868532,-2.3245373472810646,1.0
-1.285052048398856,-2.230408382043893,1.0
